Date,Region,Product,Category,Quantity,Price,Sales Amount
2024-05-12,South,Jacket,Clothing,6,4405,26430
2024-06-10,North,Jacket,Clothing,4,13605,54420
2024-04-08,South,Shirt,Clothing,3,10391,31173
2024-02-18,East,Couch,Furniture,4,34032,136128
2024-05-24,East,Phone,Electronics,2,8590,17180
2024-03-19,North,Desk,Furniture,6,41753,250518
2024-05-16,East,Jacket,Clothing,6,4843,29058
2024-01-19,North,Tablet,Electronics,5,47687,238435
2024-03-30,East,Laptop,Electronics,5,34738,173690
2024-06-03,West,Desk,Furniture,8,6741,53928
2024-04-08,South,Tablet,Electronics,4,42117,168468
2024-01-31,West,Couch,Furniture,7,8302,58114
2024-05-15,West,Chair,Furniture,10,23948,239480
2024-01-03,East,Laptop,Electronics,9,27120,244080
2024-01-13,West,Desk,Furniture,3,29981,89943
2024-02-08,East,Pants,Clothing,4,46155,184620
2024-03-04,East,Shirt,Clothing,7,39166,274162
2024-01-24,South,Laptop,Electronics,1,24519,24519
2024-02-25,North,Phone,Electronics,5,42376,211880
2024-02-15,West,Jacket,Clothing,4,7426,29704
2024-03-20,West,Desk,Furniture,4,48875,195500
2024-02-28,North,Pants,Clothing,1,9550,9550
2024-02-22,North,Shirt,Clothing,6,29306,175836
2024-03-21,North,Chair,Furniture,5,5546,27730
2024-01-07,South,Pants,Clothing,5,45216,226080
2024-04-02,North,Jacket,Clothing,7,36409,254863
2024-05-22,West,Phone,Electronics,3,46495,139485
2024-04-13,South,Jacket,Clothing,5,3488,17440
2024-01-24,East,Chair,Furniture,10,47198,471980
2024-01-07,South,Desk,Furniture,5,48974,244870
2024-04-01,West,Chair,Furniture,2,43533,87066
2024-01-06,East,Tablet,Electronics,3,7838,23514
2024-01-12,North,Phone,Electronics,7,45486,318402
2024-06-12,South,Couch,Furniture,5,5397,26985
2024-01-21,North,Shirt,Clothing,8,30418,243344
2024-05-12,West,Laptop,Electronics,1,21848,21848
2024-06-27,South,Shirt,Clothing,7,31841,222887
2024-06-09,North,Laptop,Electronics,5,5584,27920
2024-05-05,North,Couch,Furniture,5,7563,37815
2024-03-27,North,Tablet,Electronics,9,22134,199206
2024-03-06,South,Couch,Furniture,8,21234,169872
2024-03-25,East,Jacket,Clothing,2,29659,59318
2024-05-12,South,Desk,Furniture,1,17207,17207
2024-06-11,East,Phone,Electronics,2,10033,20066
2024-05-21,West,Desk,Furniture,10,24392,243920
2024-03-30,South,Jacket,Clothing,5,30839,154195
2024-05-04,West,Tablet,Electronics,10,4800,48000
2024-02-18,South,Laptop,Electronics,7,8410,58870
2024-06-14,South,Pants,Clothing,4,16150,64600
2024-06-23,East,Chair,Furniture,4,15700,62800
2024-01-31,South,Couch,Furniture,5,8529,42645
2024-06-15,North,Pants,Clothing,6,21926,131556
2024-05-21,East,Laptop,Electronics,3,7599,22797
2024-02-17,West,Jacket,Clothing,2,11354,22708
2024-02-13,East,Laptop,Electronics,6,23171,139026
2024-03-10,West,Phone,Electronics,4,15560,62240
2024-02-20,South,Chair,Furniture,10,28860,288600
2024-01-24,South,Tablet,Electronics,5,37833,189165
2024-03-21,South,Pants,Clothing,5,10330,51650
2024-04-10,East,Couch,Furniture,2,13085,26170
2024-06-06,South,Chair,Furniture,6,17039,102234
2024-03-13,North,Laptop,Electronics,8,43878,351024
2024-03-26,West,Tablet,Electronics,9,18550,166950
2024-06-09,North,Desk,Furniture,1,26879,26879
2024-04-10,West,Pants,Clothing,7,19658,137606
2024-02-24,East,Desk,Furniture,1,46513,46513
2024-02-16,South,Couch,Furniture,9,30351,273159
2024-03-12,South,Tablet,Electronics,7,28164,197148
2024-04-23,South,Pants,Clothing,3,48826,146478
2024-02-11,North,Phone,Electronics,5,27519,137595
2024-04-06,East,Couch,Furniture,1,28673,28673
2024-03-06,South,Phone,Electronics,4,31420,125680
2024-06-15,South,Pants,Clothing,2,5087,10174
2024-01-16,South,Tablet,Electronics,10,36226,362260
2024-04-26,West,Chair,Furniture,1,22715,22715
2024-04-14,South,Couch,Furniture,10,10701,107010
2024-06-17,South,Desk,Furniture,7,38678,270746
2024-05-16,West,Pants,Clothing,10,17660,176600
2024-03-09,East,Jacket,Clothing,4,20866,83464
2024-02-07,South,Couch,Furniture,7,28927,202489
2024-06-09,South,Desk,Furniture,8,32742,261936
2024-06-29,North,Jacket,Clothing,8,22316,178528
2024-05-15,East,Pants,Clothing,1,44003,44003
2024-03-07,North,Laptop,Electronics,4,2446,9784
2024-05-04,West,Pants,Clothing,5,1656,8280
2024-05-30,East,Shirt,Clothing,8,12826,102608
2024-05-05,West,Tablet,Electronics,10,48634,486340
2024-04-05,West,Shirt,Clothing,2,46418,92836
2024-01-23,West,Jacket,Clothing,8,13159,105272
2024-01-04,East,Laptop,Electronics,3,5606,16818
2024-03-16,South,Couch,Furniture,7,30692,214844
2024-01-03,West,Tablet,Electronics,4,8757,35028
2024-01-19,West,Laptop,Electronics,2,47381,94762
2024-03-14,East,Laptop,Electronics,1,17495,17495
2024-01-27,South,Chair,Furniture,9,27225,245025
2024-02-18,North,Chair,Furniture,8,41371,330968
2024-03-12,North,Tablet,Electronics,9,2747,24723
2024-04-19,South,Phone,Electronics,9,29668,267012
2024-03-12,North,Jacket,Clothing,7,34416,240912
2024-01-19,West,Phone,Electronics,5,5871,29355
2024-01-05,West,Shirt,Clothing,4,5990,23960
2024-03-10,East,Tablet,Electronics,7,21878,153146
2024-04-26,West,Phone,Electronics,7,17447,122129
2024-01-30,East,Laptop,Electronics,7,6711,46977
2024-05-17,North,Chair,Furniture,6,21072,126432
2024-03-15,East,Pants,Clothing,8,40205,321640
2024-01-16,North,Chair,Furniture,6,9191,55146
2024-03-11,South,Desk,Furniture,10,48128,481280
2024-03-03,East,Shirt,Clothing,6,38681,232086
2024-01-07,North,Laptop,Electronics,4,42224,168896
2024-01-29,East,Desk,Furniture,1,28348,28348
2024-03-19,East,Phone,Electronics,7,13409,93863
2024-03-28,South,Phone,Electronics,6,8418,50508
2024-04-02,North,Shirt,Clothing,3,21106,63318
2024-02-04,North,Phone,Electronics,1,45743,45743
2024-02-12,South,Jacket,Clothing,5,38294,191470
2024-05-31,South,Shirt,Clothing,7,2291,16037
2024-02-18,West,Couch,Furniture,7,39634,277438
2024-02-16,North,Phone,Electronics,5,17144,85720
2024-02-23,North,Desk,Furniture,5,18879,94395
2024-04-18,South,Tablet,Electronics,9,14360,129240
2024-03-12,West,Tablet,Electronics,1,38889,38889
2024-05-06,South,Shirt,Clothing,5,24282,121410
2024-02-01,North,Laptop,Electronics,4,49934,199736
2024-04-29,South,Shirt,Clothing,7,6207,43449
2024-02-09,West,Tablet,Electronics,10,17838,178380
2024-03-13,West,Shirt,Clothing,6,37263,223578
2024-05-26,West,Pants,Clothing,8,37162,297296
2024-04-28,South,Shirt,Clothing,9,8325,74925
2024-01-08,North,Pants,Clothing,6,14498,86988
2024-01-18,West,Desk,Furniture,6,18422,110532
2024-03-01,West,Laptop,Electronics,2,2672,5344
2024-03-25,South,Shirt,Clothing,4,21826,87304
2024-06-03,East,Laptop,Electronics,4,39185,156740
2024-01-25,East,Shirt,Clothing,3,692,2076
2024-06-15,West,Phone,Electronics,2,26879,53758
2024-03-26,North,Laptop,Electronics,1,24864,24864
2024-05-07,South,Chair,Furniture,2,2995,5990
2024-03-10,South,Tablet,Electronics,5,37506,187530
2024-02-28,North,Chair,Furniture,2,44586,89172
2024-04-27,West,Chair,Furniture,4,34638,138552
2024-05-13,South,Couch,Furniture,10,8596,85960
2024-02-10,North,Desk,Furniture,4,48490,193960
2024-03-09,South,Pants,Clothing,10,3206,32060
2024-02-03,North,Laptop,Electronics,4,30852,123408
2024-05-02,North,Chair,Furniture,6,48811,292866
2024-04-28,West,Pants,Clothing,2,25808,51616
2024-03-05,South,Laptop,Electronics,2,24618,49236
2024-02-12,West,Phone,Electronics,8,6526,52208
2024-01-14,West,Couch,Furniture,1,35176,35176
2024-03-19,East,Phone,Electronics,5,43095,215475
2024-01-22,West,Jacket,Clothing,8,36113,288904
2024-02-02,South,Couch,Furniture,5,35421,177105
2024-06-16,South,Pants,Clothing,6,23991,143946
2024-06-02,West,Pants,Clothing,1,4583,4583
2024-05-08,East,Phone,Electronics,1,25299,25299
2024-02-26,North,Couch,Furniture,7,31883,223181
2024-04-16,West,Couch,Furniture,7,13591,95137
2024-06-15,North,Tablet,Electronics,5,48277,241385
2024-02-01,West,Jacket,Clothing,8,23981,191848
2024-04-16,North,Shirt,Clothing,3,3430,10290
2024-05-15,South,Tablet,Electronics,4,13019,52076
2024-04-08,South,Desk,Furniture,2,9620,19240
2024-04-27,North,Pants,Clothing,10,39281,392810
2024-05-19,North,Shirt,Clothing,1,19998,19998
2024-03-02,East,Tablet,Electronics,3,14849,44547
2024-06-03,South,Laptop,Electronics,3,11589,34767
2024-04-01,West,Desk,Furniture,3,47090,141270
2024-02-01,West,Laptop,Electronics,8,12867,102936
2024-01-14,West,Tablet,Electronics,4,29113,116452
2024-05-07,North,Couch,Furniture,7,15332,107324
2024-02-09,West,Couch,Furniture,4,33539,134156
2024-05-28,North,Phone,Electronics,6,4708,28248
2024-06-03,North,Phone,Electronics,2,19827,39654
2024-03-12,South,Phone,Electronics,4,23809,95236
2024-03-25,West,Shirt,Clothing,6,23729,142374
2024-03-13,East,Chair,Furniture,10,24279,242790
2024-03-31,South,Shirt,Clothing,8,37144,297152
2024-02-08,North,Desk,Furniture,8,17614,140912
2024-05-16,West,Phone,Electronics,1,10847,10847
2024-05-02,East,Phone,Electronics,3,31357,94071
2024-04-15,North,Chair,Furniture,7,45766,320362
2024-03-09,South,Couch,Furniture,10,47314,473140
2024-04-21,North,Tablet,Electronics,1,29262,29262
2024-06-17,East,Couch,Furniture,2,10128,20256
2024-04-09,West,Pants,Clothing,7,36195,253365
2024-02-18,South,Couch,Furniture,4,15679,62716
2024-05-19,West,Couch,Furniture,3,1389,4167
2024-03-02,East,Jacket,Clothing,8,17878,143024
2024-06-19,West,Laptop,Electronics,2,7564,15128
2024-03-05,South,Pants,Clothing,2,9131,18262
2024-06-06,West,Phone,Electronics,6,35789,214734
2024-04-01,North,Pants,Clothing,5,15752,78760
2024-01-16,West,Phone,Electronics,6,42276,253656
2024-02-29,West,Laptop,Electronics,2,42524,85048
2024-04-22,North,Laptop,Electronics,9,38125,343125
2024-02-28,West,Laptop,Electronics,7,31207,218449
2024-06-29,West,Couch,Furniture,4,20562,82248
2024-05-17,West,Chair,Furniture,6,22898,137388
2024-01-28,South,Tablet,Electronics,2,29133,58266
2024-02-03,West,Tablet,Electronics,2,10333,20666
2024-03-15,North,Shirt,Clothing,4,29102,116408
2024-06-29,West,Phone,Electronics,9,33042,297378
2024-05-02,North,Desk,Furniture,1,36885,36885
2024-02-13,North,Jacket,Clothing,3,46698,140094
2024-05-07,East,Desk,Furniture,8,38482,307856
2024-01-04,North,Chair,Furniture,2,47683,95366
2024-04-12,East,Desk,Furniture,7,47507,332549
2024-03-25,South,Couch,Furniture,8,12971,103768
2024-03-22,West,Shirt,Clothing,9,8961,80649
2024-02-12,East,Jacket,Clothing,7,49956,349692
2024-06-09,East,Jacket,Clothing,6,41115,246690
2024-06-10,North,Laptop,Electronics,6,14242,85452
2024-06-16,West,Couch,Furniture,5,49816,249080
2024-03-25,East,Pants,Clothing,4,45893,183572
2024-04-27,South,Phone,Electronics,6,2891,17346
2024-02-19,North,Jacket,Clothing,8,8236,65888
2024-04-08,South,Chair,Furniture,10,10553,105530
2024-02-08,East,Desk,Furniture,2,17148,34296
2024-04-19,West,Desk,Furniture,3,24479,73437
2024-06-13,East,Phone,Electronics,4,11578,46312
2024-01-29,East,Desk,Furniture,6,42178,253068
2024-06-07,North,Jacket,Clothing,3,30741,92223
2024-05-02,West,Tablet,Electronics,1,39997,39997
2024-05-18,West,Jacket,Clothing,10,39275,392750
2024-01-25,North,Pants,Clothing,2,25482,50964
2024-02-01,North,Tablet,Electronics,2,30098,60196
2024-02-09,East,Desk,Furniture,10,32814,328140
2024-05-10,West,Laptop,Electronics,4,16786,67144
2024-02-09,East,Phone,Electronics,7,9806,68642
2024-06-29,North,Shirt,Clothing,3,35618,106854
2024-04-02,West,Desk,Furniture,7,3226,22582
2024-01-01,East,Chair,Furniture,9,45820,412380
2024-04-07,South,Pants,Clothing,6,38543,231258
2024-04-22,East,Couch,Furniture,8,9717,77736
2024-06-25,South,Laptop,Electronics,7,30717,215019
2024-01-17,North,Couch,Furniture,5,38705,193525
2024-01-07,North,Tablet,Electronics,5,12980,64900
2024-01-18,South,Chair,Furniture,6,26985,161910
2024-01-22,West,Desk,Furniture,2,22748,45496
2024-03-17,North,Tablet,Electronics,6,47561,285366
2024-06-06,North,Chair,Furniture,9,9738,87642
2024-03-03,West,Shirt,Clothing,5,16642,83210
2024-06-14,North,Desk,Furniture,10,10162,101620
2024-05-17,East,Jacket,Clothing,7,41541,290787
2024-03-13,South,Pants,Clothing,4,31075,124300
2024-03-06,North,Couch,Furniture,4,36476,145904
2024-04-24,West,Tablet,Electronics,4,14390,57560
2024-01-07,North,Tablet,Electronics,2,23229,46458
2024-04-28,West,Couch,Furniture,10,11380,113800
2024-01-30,North,Pants,Clothing,1,27187,27187
2024-06-23,West,Shirt,Clothing,8,25978,207824
2024-04-15,East,Laptop,Electronics,8,48658,389264
2024-05-07,South,Laptop,Electronics,9,13349,120141
2024-06-20,East,Shirt,Clothing,4,42475,169900
2024-03-14,East,Chair,Furniture,6,9283,55698
2024-06-17,South,Phone,Electronics,9,42072,378648
2024-04-25,North,Tablet,Electronics,9,20684,186156
2024-03-18,North,Pants,Clothing,3,30961,92883
2024-01-18,West,Desk,Furniture,6,37785,226710
2024-02-29,East,Jacket,Clothing,10,4339,43390
2024-04-05,West,Pants,Clothing,2,30672,61344
2024-06-23,West,Desk,Furniture,1,46271,46271
2024-04-09,East,Laptop,Electronics,10,7720,77200
2024-06-11,South,Laptop,Electronics,2,35779,71558
2024-02-05,North,Pants,Clothing,6,26132,156792
2024-06-17,North,Chair,Furniture,4,39670,158680
2024-01-21,East,Desk,Furniture,1,9415,9415
2024-01-23,South,Pants,Clothing,9,44283,398547
2024-03-11,East,Couch,Furniture,10,46270,462700
2024-04-08,North,Desk,Furniture,4,33481,133924
2024-03-12,West,Pants,Clothing,5,7269,36345
2024-06-26,North,Laptop,Electronics,3,9430,28290
2024-02-14,South,Jacket,Clothing,6,13783,82698
2024-01-22,South,Chair,Furniture,5,13902,69510
2024-04-30,East,Couch,Furniture,4,14934,59736
2024-03-10,West,Tablet,Electronics,6,40001,240006
2024-04-26,South,Pants,Clothing,5,38742,193710
2024-05-10,South,Jacket,Clothing,6,45370,272220
2024-02-03,North,Tablet,Electronics,4,47192,188768
2024-05-08,East,Desk,Furniture,7,47425,331975
2024-02-25,West,Jacket,Clothing,2,7582,15164
2024-03-21,West,Pants,Clothing,1,49536,49536
2024-05-06,South,Shirt,Clothing,6,20421,122526
2024-06-20,South,Chair,Furniture,9,22579,203211
2024-02-07,West,Pants,Clothing,9,46644,419796
2024-03-26,North,Couch,Furniture,6,44980,269880
2024-05-24,North,Chair,Furniture,4,16062,64248
2024-03-26,North,Phone,Electronics,1,19972,19972
2024-01-04,West,Phone,Electronics,8,16488,131904
2024-05-31,North,Couch,Furniture,10,41501,415010
2024-02-09,East,Pants,Clothing,9,21359,192231
2024-02-25,South,Couch,Furniture,7,22205,155435
2024-02-09,North,Desk,Furniture,10,15512,155120
2024-03-28,East,Pants,Clothing,4,34323,137292
2024-05-04,West,Desk,Furniture,10,13609,136090
2024-03-31,South,Laptop,Electronics,5,17008,85040
2024-01-22,East,Tablet,Electronics,10,49046,490460
2024-03-07,South,Chair,Furniture,6,19995,119970
2024-03-21,East,Couch,Furniture,7,3190,22330
2024-05-08,South,Chair,Furniture,1,23036,23036
2024-06-27,North,Couch,Furniture,6,19682,118092
2024-06-04,South,Tablet,Electronics,7,35045,245315
2024-06-06,South,Couch,Furniture,6,36596,219576
2024-02-19,East,Couch,Furniture,2,39130,78260
2024-03-24,West,Desk,Furniture,10,24062,240620
2024-03-26,North,Shirt,Clothing,4,37828,151312
2024-06-12,West,Laptop,Electronics,4,23308,93232
2024-04-30,East,Couch,Furniture,7,25800,180600
2024-01-26,West,Jacket,Clothing,9,41240,371160
2024-04-06,North,Phone,Electronics,6,48711,292266
2024-06-09,West,Phone,Electronics,3,44702,134106
2024-06-17,East,Laptop,Electronics,10,37695,376950
2024-03-27,South,Pants,Clothing,9,22698,204282
2024-04-25,South,Laptop,Electronics,6,49176,295056
2024-02-17,North,Pants,Clothing,1,29292,29292
2024-06-24,South,Desk,Furniture,6,15863,95178
2024-03-22,West,Pants,Clothing,4,43510,174040
2024-02-27,East,Laptop,Electronics,10,18126,181260
2024-01-02,East,Shirt,Clothing,7,9763,68341
2024-04-19,South,Desk,Furniture,6,29836,179016
2024-03-01,West,Couch,Furniture,6,3270,19620
2024-03-18,South,Pants,Clothing,10,45398,453980
2024-01-14,West,Pants,Clothing,4,28067,112268
2024-05-05,East,Laptop,Electronics,4,5409,21636
2024-05-20,East,Tablet,Electronics,3,48435,145305
2024-06-05,West,Chair,Furniture,10,19397,193970
2024-01-05,North,Desk,Furniture,1,6287,6287
2024-06-17,West,Jacket,Clothing,8,14736,117888
2024-01-05,South,Phone,Electronics,4,48105,192420
2024-02-02,East,Pants,Clothing,4,8324,33296
2024-01-12,North,Pants,Clothing,6,32481,194886
2024-04-12,East,Tablet,Electronics,3,25859,77577
2024-06-09,West,Shirt,Clothing,5,34651,173255
2024-06-29,South,Jacket,Clothing,4,45142,180568
2024-01-09,South,Laptop,Electronics,3,24194,72582
2024-05-18,North,Couch,Furniture,8,43624,348992
2024-05-06,West,Laptop,Electronics,5,1436,7180
2024-02-02,South,Pants,Clothing,7,43587,305109
2024-04-29,West,Chair,Furniture,4,23086,92344
2024-06-06,South,Jacket,Clothing,1,23366,23366
2024-05-18,South,Desk,Furniture,5,42311,211555
2024-02-01,West,Pants,Clothing,3,49011,147033
2024-04-13,North,Pants,Clothing,1,24435,24435
2024-03-22,East,Laptop,Electronics,5,2728,13640
2024-01-04,North,Shirt,Clothing,9,25895,233055
2024-03-18,West,Laptop,Electronics,1,47282,47282
2024-03-29,North,Couch,Furniture,10,40191,401910
2024-03-24,North,Jacket,Clothing,10,34267,342670
2024-03-18,South,Chair,Furniture,9,862,7758
2024-01-15,South,Jacket,Clothing,6,46804,280824
2024-01-15,East,Laptop,Electronics,2,20752,41504
2024-06-14,West,Phone,Electronics,6,23690,142140
2024-04-09,North,Phone,Electronics,7,33941,237587
2024-04-29,North,Jacket,Clothing,4,13318,53272
2024-04-29,North,Couch,Furniture,7,44651,312557
2024-02-04,North,Shirt,Clothing,10,44365,443650
2024-02-15,South,Desk,Furniture,6,46598,279588
2024-05-22,East,Shirt,Clothing,6,28731,172386
2024-05-13,South,Couch,Furniture,4,37862,151448
2024-01-16,North,Laptop,Electronics,3,37387,112161
2024-06-25,East,Shirt,Clothing,9,17516,157644
2024-04-27,West,Couch,Furniture,5,14306,71530
2024-03-15,South,Laptop,Electronics,7,15508,108556
2024-02-25,North,Phone,Electronics,3,14092,42276
2024-03-01,West,Chair,Furniture,3,9489,28467
2024-01-17,East,Phone,Electronics,2,32183,64366
2024-04-24,South,Desk,Furniture,3,7293,21879
2024-02-07,North,Tablet,Electronics,2,47001,94002
2024-03-31,West,Tablet,Electronics,2,49346,98692
2024-05-20,North,Couch,Furniture,2,49637,99274
2024-05-24,North,Shirt,Clothing,4,1576,6304
2024-06-27,North,Desk,Furniture,10,9134,91340
2024-05-20,North,Desk,Furniture,3,7033,21099
2024-03-10,East,Phone,Electronics,1,47433,47433
2024-04-29,West,Jacket,Clothing,1,2238,2238
2024-01-02,East,Chair,Furniture,8,27636,221088
2024-03-17,North,Phone,Electronics,1,14657,14657
2024-05-01,North,Pants,Clothing,5,23001,115005
2024-06-20,West,Laptop,Electronics,7,36430,255010
2024-05-16,North,Phone,Electronics,10,38261,382610
2024-05-23,East,Laptop,Electronics,5,42317,211585
2024-06-17,South,Desk,Furniture,7,37442,262094
2024-03-24,West,Pants,Clothing,4,3049,12196
2024-06-22,East,Chair,Furniture,6,29779,178674
2024-03-03,North,Chair,Furniture,1,7959,7959
2024-04-30,East,Pants,Clothing,1,28348,28348
2024-06-25,North,Shirt,Clothing,8,48810,390480
2024-04-17,West,Couch,Furniture,10,13239,132390
2024-06-27,East,Shirt,Clothing,2,14925,29850
2024-03-17,West,Laptop,Electronics,5,29132,145660
2024-06-24,East,Shirt,Clothing,3,20188,60564
2024-01-10,South,Pants,Clothing,5,37012,185060
2024-02-08,West,Chair,Furniture,3,40662,121986
2024-03-30,North,Laptop,Electronics,8,6392,51136
2024-01-28,North,Tablet,Electronics,8,39002,312016
2024-06-19,East,Phone,Electronics,9,10862,97758
2024-06-06,South,Desk,Furniture,1,15601,15601
2024-04-13,East,Desk,Furniture,5,45030,225150
2024-04-30,West,Chair,Furniture,1,16538,16538
2024-06-29,North,Chair,Furniture,3,32264,96792
2024-04-13,West,Couch,Furniture,3,34045,102135
2024-05-29,West,Desk,Furniture,9,11778,106002
2024-06-07,East,Desk,Furniture,8,29471,235768
2024-04-10,North,Chair,Furniture,6,4447,26682
2024-01-29,North,Laptop,Electronics,4,22002,88008
2024-05-04,East,Chair,Furniture,9,7894,71046
2024-04-28,West,Pants,Clothing,10,20947,209470
2024-06-27,South,Couch,Furniture,9,38912,350208
2024-04-30,South,Shirt,Clothing,8,14468,115744
2024-05-22,East,Laptop,Electronics,4,19230,76920
2024-04-08,West,Shirt,Clothing,4,21081,84324
2024-04-10,West,Shirt,Clothing,6,568,3408
2024-05-21,North,Couch,Furniture,4,36759,147036
2024-05-31,East,Laptop,Electronics,4,2188,8752
2024-03-21,East,Phone,Electronics,6,33050,198300
2024-02-09,South,Phone,Electronics,1,29810,29810
2024-01-27,North,Phone,Electronics,9,14533,130797
2024-01-04,South,Desk,Furniture,7,30751,215257
2024-04-07,North,Chair,Furniture,2,46318,92636
2024-02-17,South,Phone,Electronics,4,39933,159732
2024-03-02,North,Pants,Clothing,1,45261,45261
2024-01-10,North,Shirt,Clothing,4,34640,138560
2024-05-15,East,Jacket,Clothing,6,4839,29034
2024-03-22,South,Pants,Clothing,2,7802,15604
2024-06-17,South,Desk,Furniture,5,15453,77265
2024-05-30,North,Tablet,Electronics,2,20641,41282
2024-06-15,North,Jacket,Clothing,3,1184,3552
2024-02-26,North,Jacket,Clothing,5,12336,61680
2024-05-18,East,Laptop,Electronics,1,10201,10201
2024-03-16,South,Shirt,Clothing,10,35164,351640
2024-03-02,West,Phone,Electronics,6,38190,229140
2024-02-22,West,Shirt,Clothing,5,20029,100145
2024-01-07,West,Phone,Electronics,8,20259,162072
2024-05-01,North,Laptop,Electronics,7,49949,349643
2024-03-24,East,Pants,Clothing,8,33880,271040
2024-06-20,West,Pants,Clothing,6,48832,292992
2024-05-11,North,Desk,Furniture,10,37701,377010
2024-01-21,North,Chair,Furniture,7,6999,48993
2024-02-05,South,Tablet,Electronics,10,18836,188360
2024-04-22,South,Phone,Electronics,1,1830,1830
2024-01-11,East,Phone,Electronics,8,47901,383208
2024-04-25,South,Chair,Furniture,1,48394,48394
2024-06-14,South,Chair,Furniture,10,37852,378520
2024-03-10,East,Chair,Furniture,8,854,6832
2024-02-15,North,Laptop,Electronics,9,45198,406782
2024-03-15,North,Tablet,Electronics,10,28029,280290
2024-04-12,North,Laptop,Electronics,1,19330,19330
2024-03-15,North,Phone,Electronics,9,45431,408879
2024-04-26,East,Chair,Furniture,2,8155,16310
2024-05-29,East,Desk,Furniture,7,37528,262696
2024-06-14,West,Laptop,Electronics,8,37449,299592
2024-03-03,North,Chair,Furniture,8,30059,240472
2024-05-22,South,Phone,Electronics,5,20095,100475
2024-01-20,South,Jacket,Clothing,5,25205,126025
2024-04-20,West,Jacket,Clothing,8,40436,323488
2024-03-20,West,Tablet,Electronics,8,49975,399800
2024-06-20,North,Tablet,Electronics,7,49381,345667
2024-02-05,North,Phone,Electronics,9,9630,86670
2024-01-28,West,Tablet,Electronics,8,17526,140208
2024-02-04,East,Jacket,Clothing,9,9820,88380
2024-04-03,West,Shirt,Clothing,6,37379,224274
2024-06-18,South,Jacket,Clothing,4,22105,88420
2024-01-12,East,Desk,Furniture,7,29473,206311
2024-02-17,West,Shirt,Clothing,10,13369,133690
2024-06-20,West,Phone,Electronics,8,9330,74640
2024-02-17,East,Couch,Furniture,5,16175,80875
2024-02-13,South,Chair,Furniture,6,47887,287322
2024-02-06,North,Laptop,Electronics,4,18733,74932
2024-03-03,East,Jacket,Clothing,9,46981,422829
2024-04-21,South,Laptop,Electronics,3,11020,33060
2024-04-21,North,Chair,Furniture,9,24170,217530
2024-04-30,North,Desk,Furniture,9,38146,343314
